type	latitude	longitude	altitude (m)	name	desc
T	48.641830000	6.166940000	357.1		
T	48.641880000	6.166670000	359.4		
T	48.641920000	6.166400000	361.0		
T	48.641980000	6.166020000	361.6		
T	48.642060000	6.165500000	362.5		
T	48.642160000	6.164870000	365.9		
T	48.642320000	6.163850000	368.4		
T	48.642380000	6.163500000	369.7		
T	48.642430000	6.163150000	372.4		
T	48.642450000	6.163010000	373.5		
T	48.642470000	6.162930000	374.0		
T	48.642490000	6.162770000	375.1		
T	48.642520000	6.162600000	375.9		
T	48.642610000	6.162010000	378.1		
T	48.642650000	6.161740000	380.0		
T	48.642690000	6.161480000	381.4		
T	48.642730000	6.161220000	382.6		
T	48.642760000	6.161050000	383.1		
T	48.642780000	6.160950000	383.0		
T	48.642810000	6.160720000	384.1		
T	48.642850000	6.160510000	385.7		
T	48.642930000	6.160040000	388.1		
T	48.642950000	6.159900000	388.7		
T	48.642970000	6.159760000	389.0		
T	48.643020000	6.159450000	389.4		
T	48.643030000	6.159370000	389.1		
T	48.643040000	6.159320000	388.8		
T	48.643090000	6.158990000	389.4		
T	48.643110000	6.158920000	390.1		
T	48.643120000	6.158830000	390.6		
T	48.643130000	6.158790000	390.9		
T	48.643140000	6.158710000	391.3		
T	48.643200000	6.158370000	392.6		
T	48.643230000	6.158170000	392.6		
T	48.643280000	6.157860000	391.9		
T	48.643310000	6.157700000	391.5		
T	48.643340000	6.157510000	392.1		
T	48.643420000	6.156990000	394.1		
T	48.643510000	6.156450000	395.0		
T	48.643550000	6.156180000	395.2		
T	48.643560000	6.156140000	395.2		
T	48.643700000	6.155280000	395.3		
T	48.643700000	6.155270000	395.3		
T	48.643820000	6.154480000	396.2		
T	48.643850000	6.154260000	396.1		
T	48.643900000	6.153950000	396.0		
T	48.643940000	6.153690000	396.1		
T	48.644020000	6.153160000	396.3		
T	48.644130000	6.152440000	396.8		
T	48.644240000	6.151640000	396.7		
T	48.644330000	6.151120000	396.2		
T	48.644380000	6.150760000	395.6		
T	48.645110000	6.146260000	389.7		
T	48.645120000	6.146150000	389.5		
T	48.645160000	6.145910000	389.6		
T	48.645190000	6.145740000	389.3		
T	48.645210000	6.145650000	389.1		
T	48.645230000	6.145550000	388.8		
T	48.645280000	6.145390000	389.0		
T	48.645320000	6.145210000	388.5		
T	48.645390000	6.144870000	387.4		
T	48.645400000	6.144810000	387.3		
T	48.645490000	6.144400000	386.3		
T	48.645520000	6.144270000	386.5		
T	48.645590000	6.143990000	386.5		
